id,time_id,site_id,project_id,account_id,variance,budgeted_cost,actual_cost,created_at,created_by,date,day,day_name,month,year,site_name,region,latitude,longitude,project_name,project_manager,status,start_date,end_date,account_name,account_type,budget_category,cost
876,50,11,4,9,Under,51643,119494,2022-03-13,user_63,20220220,20,Sunday,2,2022,Site 11,South,-35,-8,Project 4,Manager 4,Active,2022-08-25,2023-07-14,Account 9,OPEX,Hardware,70615
38,60,6,4,9,Under,90813,59485,2023-04-11,user_42,20220302,2,Wednesday,3,2022,Site 6,South,-31,78,Project 4,Manager 4,Active,2022-08-25,2023-07-14,Account 9,OPEX,Hardware,70615
297,93,7,4,9,Under,181599,162589,2023-09-10,user_6,20220404,4,Monday,4,2022,Site 7,North,53,-79,Project 4,Manager 4,Active,2022-08-25,2023-07-14,Account 9,OPEX,Hardware,70615
479,61,2,12,9,Under,42710,166069,2023-09-16,user_88,20220303,3,Thursday,3,2022,Site 2,South,-33,-109,Project 12,Manager 10,Completed,2022-07-05,2023-04-23,Account 9,OPEX,Hardware,70615
530,46,15,40,9,On Budget,29366,101680,2022-12-17,user_24,20220216,16,Wednesday,2,2022,Site 15,North,6,-140,Project 40,Manager 8,Active,2022-08-31,2023-07-28,Account 9,OPEX,Hardware,70615
1059,77,2,1,9,On Budget,167439,103860,2022-11-06,user_51,20220319,19,Saturday,3,2022,Site 2,South,-33,-109,Project 1,Manager 5,Completed,2022-07-06,2023-03-25,Account 9,OPEX,Hardware,70615
478,69,12,27,9,Under,176648,131293,2023-08-09,user_78,20220311,11,Friday,3,2022,Site 12,North,-67,14,Project 27,Manager 2,Active,2022-09-06,2023-02-05,Account 9,OPEX,Hardware,70615
87,66,5,5,9,Under,94096,137100,2022-10-01,user_1,20220308,8,Tuesday,3,2022,Site 5,North,-83,-133,Project 5,Manager 5,On Hold,2022-10-13,2023-04-23,Account 9,OPEX,Hardware,70615
474,26,5,39,9,Under,195605,21566,2022-03-31,user_50,20220127,27,Thursday,1,2022,Site 5,North,-83,-133,Project 39,Manager 9,Active,2022-10-20,2023-10-23,Account 9,OPEX,Hardware,70615
614,10,17,42,9,Over,44384,52996,2022-06-11,user_47,20220111,11,Tuesday,1,2022,Site 17,East,57,-82,Project 42,Manager 6,Completed,2022-07-30,2023-08-28,Account 9,OPEX,Hardware,70615
857,65,3,18,9,Over,166427,77655,2022-10-09,user_33,20220307,7,Monday,3,2022,Site 3,North,83,99,Project 18,Manager 9,Completed,2022-06-24,2023-02-27,Account 9,OPEX,Hardware,70615
356,1,7,14,9,On Budget,21400,155348,2022-04-15,user_69,20220102,2,Sunday,1,2022,Site 7,North,53,-79,Project 14,Manager 1,Active,2022-03-20,2023-03-23,Account 9,OPEX,Hardware,70615
82,57,2,14,9,On Budget,39344,79505,2023-03-25,user_90,20220227,27,Sunday,2,2022,Site 2,South,-33,-109,Project 14,Manager 1,Active,2022-03-20,2023-03-23,Account 9,OPEX,Hardware,70615
740,7,18,26,9,Over,109471,135549,2023-03-21,user_100,20220108,8,Saturday,1,2022,Site 18,North,-79,158,Project 26,Manager 4,Active,2022-05-04,2023-10-18,Account 9,OPEX,Hardware,70615
1076,49,3,26,9,Over,67935,206080,2023-02-13,user_12,20220219,19,Saturday,2,2022,Site 3,North,83,99,Project 26,Manager 4,Active,2022-05-04,2023-10-18,Account 9,OPEX,Hardware,70615
334,62,3,24,9,Over,193979,167848,2023-05-23,user_77,20220304,4,Friday,3,2022,Site 3,North,83,99,Project 24,Manager 1,On Hold,2022-06-15,2023-09-08,Account 9,OPEX,Hardware,70615
649,4,16,8,9,Over,105315,170110,2022-08-14,user_87,20220105,5,Wednesday,1,2022,Site 16,East,70,136,Project 8,Manager 4,On Hold,2022-06-11,2023-04-19,Account 9,OPEX,Hardware,70615
618,6,19,10,2,Over,72701,51195,2023-06-14,user_52,20220107,7,Friday,1,2022,Site 19,South,-16,-140,Project 10,Manager 5,Active,2022-05-07,2023-10-15,Account 2,CAPEX,Software,1282
165,61,17,10,2,Under,32132,94030,2022-03-28,user_65,20220303,3,Thursday,3,2022,Site 17,East,57,-82,Project 10,Manager 5,Active,2022-05-07,2023-10-15,Account 2,CAPEX,Software,1282
979,5,17,38,2,Under,36174,70325,2022-02-14,user_9,20220106,6,Thursday,1,2022,Site 17,East,57,-82,Project 38,Manager 5,On Hold,2022-09-06,2023-04-20,Account 2,CAPEX,Software,1282
447,92,6,21,2,Over,43721,157776,2022-05-26,user_100,20220403,3,Sunday,4,2022,Site 6,South,-31,78,Project 21,Manager 3,On Hold,2022-02-24,2023-06-02,Account 2,CAPEX,Software,1282
783,49,18,25,2,Over,92868,152240,2023-11-07,user_20,20220219,19,Saturday,2,2022,Site 18,North,-79,158,Project 25,Manager 1,Active,2022-07-05,2023-06-07,Account 2,CAPEX,Software,1282
437,53,18,31,2,Over,78341,104405,2022-05-21,user_54,20220223,23,Wednesday,2,2022,Site 18,North,-79,158,Project 31,Manager 4,On Hold,2022-06-09,2023-07-24,Account 2,CAPEX,Software,1282
518,33,18,40,2,On Budget,17572,177531,2022-04-21,user_84,20220203,3,Thursday,2,2022,Site 18,North,-79,158,Project 40,Manager 8,Active,2022-08-31,2023-07-28,Account 2,CAPEX,Software,1282
1122,8,13,49,2,On Budget,173156,43571,2023-08-12,user_8,20220109,9,Sunday,1,2022,Site 13,North,1,-4,Project 49,Manager 9,Active,2022-02-17,2023-05-02,Account 2,CAPEX,Software,1282
506,68,10,27,2,Over,41009,56506,2022-12-17,user_53,20220310,10,Thursday,3,2022,Site 10,West,-3,-38,Project 27,Manager 2,Active,2022-09-06,2023-02-05,Account 2,CAPEX,Software,1282
728,51,1,47,2,Under,161175,8273,2023-06-15,user_18,20220221,21,Monday,2,2022,Site 1,North,-84,-40,Project 47,Manager 5,Completed,2022-05-08,2023-02-08,Account 2,CAPEX,Software,1282
137,86,14,47,2,Under,162393,85906,2022-12-27,user_14,20220328,28,Monday,3,2022,Site 14,East,-79,55,Project 47,Manager 5,Completed,2022-05-08,2023-02-08,Account 2,CAPEX,Software,1282
752,26,20,18,2,Under,176640,6184,2022-03-10,user_50,20220127,27,Thursday,1,2022,Site 20,South,-65,14,Project 18,Manager 9,Completed,2022-06-24,2023-02-27,Account 2,CAPEX,Software,1282
932,65,14,18,2,Over,102730,94499,2023-04-09,user_63,20220307,7,Monday,3,2022,Site 14,East,-79,55,Project 18,Manager 9,Completed,2022-06-24,2023-02-27,Account 2,CAPEX,Software,1282
871,4,20,6,2,On Budget,177125,60839,2023-09-06,user_82,20220105,5,Wednesday,1,2022,Site 20,South,-65,14,Project 6,Manager 6,Active,2022-04-28,2023-01-17,Account 2,CAPEX,Software,1282
1081,56,14,6,2,On Budget,94586,125510,2023-11-24,user_29,20220226,26,Saturday,2,2022,Site 14,East,-79,55,Project 6,Manager 6,Active,2022-04-28,2023-01-17,Account 2,CAPEX,Software,1282
889,69,15,2,2,Under,19694,92530,2022-02-13,user_52,20220311,11,Friday,3,2022,Site 15,North,6,-140,Project 2,Manager 6,Completed,2022-04-18,2023-05-17,Account 2,CAPEX,Software,1282
535,15,14,29,2,Over,73580,175697,2022-11-18,user_2,20220116,16,Sunday,1,2022,Site 14,East,-79,55,Project 29,Manager 9,Active,2022-05-16,2023-09-28,Account 2,CAPEX,Software,1282
445,40,6,32,2,Over,19724,64980,2023-09-09,user_29,20220210,10,Thursday,2,2022,Site 6,South,-31,78,Project 32,Manager 6,Completed,2022-09-22,2023-08-20,Account 2,CAPEX,Software,1282
716,63,7,7,2,On Budget,173231,105868,2023-11-05,user_63,20220305,5,Saturday,3,2022,Site 7,North,53,-79,Project 7,Manager 6,Completed,2022-05-18,2023-02-03,Account 2,CAPEX,Software,1282
463,39,8,7,2,Under,154886,148090,2023-05-18,user_20,20220209,9,Wednesday,2,2022,Site 8,West,-34,49,Project 7,Manager 6,Completed,2022-05-18,2023-02-03,Account 2,CAPEX,Software,1282
893,2,6,41,2,Under,30504,123586,2023-09-18,user_22,20220103,3,Monday,1,2022,Site 6,South,-31,78,Project 41,Manager 4,Active,2022-02-19,2023-08-09,Account 2,CAPEX,Software,1282
308,83,2,34,2,Over,180168,16717,2022-01-07,user_53,20220325,25,Friday,3,2022,Site 2,South,-33,-109,Project 34,Manager 6,Active,2022-10-11,2023-04-28,Account 2,CAPEX,Software,1282
590,72,5,8,2,Over,155134,160409,2023-02-08,user_69,20220314,14,Monday,3,2022,Site 5,North,-83,-133,Project 8,Manager 4,On Hold,2022-06-11,2023-04-19,Account 2,CAPEX,Software,1282
411,6,1,16,2,Under,100414,104395,2022-06-03,user_23,20220107,7,Friday,1,2022,Site 1,North,-84,-40,Project 16,Manager 7,On Hold,2022-08-28,2023-09-28,Account 2,CAPEX,Software,1282
486,26,2,16,2,Under,18253,98470,2022-07-23,user_36,20220127,27,Thursday,1,2022,Site 2,South,-33,-109,Project 16,Manager 7,On Hold,2022-08-28,2023-09-28,Account 2,CAPEX,Software,1282
761,31,19,10,14,Under,163693,90320,2023-04-05,user_70,20220201,1,Tuesday,2,2022,Site 19,South,-16,-140,Project 10,Manager 5,Active,2022-05-07,2023-10-15,Account 14,CAPEX,Hardware,78924
631,47,4,10,14,On Budget,158451,70488,2022-09-25,user_69,20220217,17,Thursday,2,2022,Site 4,North,61,36,Project 10,Manager 5,Active,2022-05-07,2023-10-15,Account 14,CAPEX,Hardware,78924
763,40,17,9,14,Over,177027,152070,2022-06-11,user_41,20220210,10,Thursday,2,2022,Site 17,East,57,-82,Project 9,Manager 8,Completed,2022-08-23,2023-03-15,Account 14,CAPEX,Hardware,78924
77,36,6,38,14,On Budget,133902,27918,2023-04-27,user_45,20220206,6,Sunday,2,2022,Site 6,South,-31,78,Project 38,Manager 5,On Hold,2022-09-06,2023-04-20,Account 14,CAPEX,Hardware,78924
1143,19,5,38,14,Over,84996,78313,2022-08-09,user_24,20220120,20,Thursday,1,2022,Site 5,North,-83,-133,Project 38,Manager 5,On Hold,2022-09-06,2023-04-20,Account 14,CAPEX,Hardware,78924
331,50,1,19,14,Under,27203,194013,2023-07-27,user_32,20220220,20,Sunday,2,2022,Site 1,North,-84,-40,Project 19,Manager 5,Completed,2022-03-22,2023-08-21,Account 14,CAPEX,Hardware,78924
1123,81,17,19,14,Under,183486,187707,2023-07-21,user_39,20220323,23,Wednesday,3,2022,Site 17,East,57,-82,Project 19,Manager 5,Completed,2022-03-22,2023-08-21,Account 14,CAPEX,Hardware,78924
281,61,2,19,14,Over,40501,204757,2023-10-19,user_94,20220303,3,Thursday,3,2022,Site 2,South,-33,-109,Project 19,Manager 5,Completed,2022-03-22,2023-08-21,Account 14,CAPEX,Hardware,78924
247,3,15,21,14,Over,113255,185010,2022-07-28,user_53,20220104,4,Tuesday,1,2022,Site 15,North,6,-140,Project 21,Manager 3,On Hold,2022-02-24,2023-06-02,Account 14,CAPEX,Hardware,78924
1064,34,17,21,14,Over,87717,197165,2023-05-19,user_98,20220204,4,Friday,2,2022,Site 17,East,57,-82,Project 21,Manager 3,On Hold,2022-02-24,2023-06-02,Account 14,CAPEX,Hardware,78924
714,79,10,21,14,On Budget,89416,32957,2022-04-09,user_67,20220321,21,Monday,3,2022,Site 10,West,-3,-38,Project 21,Manager 3,On Hold,2022-02-24,2023-06-02,Account 14,CAPEX,Hardware,78924
650,90,8,21,14,Under,140398,144417,2022-01-10,user_90,20220401,1,Friday,4,2022,Site 8,West,-34,49,Project 21,Manager 3,On Hold,2022-02-24,2023-06-02,Account 14,CAPEX,Hardware,78924
4,57,18,46,14,On Budget,7534,33327,2022-03-19,user_89,20220227,27,Sunday,2,2022,Site 18,North,-79,158,Project 46,Manager 8,Active,2022-08-05,2023-04-04,Account 14,CAPEX,Hardware,78924
342,33,5,46,14,Under,24389,121720,2023-09-05,user_62,20220203,3,Thursday,2,2022,Site 5,North,-83,-133,Project 46,Manager 8,Active,2022-08-05,2023-04-04,Account 14,CAPEX,Hardware,78924
524,26,12,46,14,Under,47040,14329,2023-07-16,user_64,20220127,27,Thursday,1,2022,Site 12,North,-67,14,Project 46,Manager 8,Active,2022-08-05,2023-04-04,Account 14,CAPEX,Hardware,78924
1057,28,13,46,14,On Budget,161551,71168,2022-03-16,user_13,20220129,29,Saturday,1,2022,Site 13,North,1,-4,Project 46,Manager 8,Active,2022-08-05,2023-04-04,Account 14,CAPEX,Hardware,78924
770,25,8,3,14,Over,75741,112277,2022-08-16,user_96,20220126,26,Wednesday,1,2022,Site 8,West,-34,49,Project 3,Manager 2,On Hold,2022-03-29,2023-10-01,Account 14,CAPEX,Hardware,78924
735,43,12,28,14,Over,64432,199999,2023-10-31,user_78,20220213,13,Sunday,2,2022,Site 12,North,-67,14,Project 28,Manager 9,Active,2022-03-07,2023-09-01,Account 14,CAPEX,Hardware,78924
32,43,18,30,14,Over,59220,114138,2023-02-03,user_99,20220213,13,Sunday,2,2022,Site 18,North,-79,158,Project 30,Manager 10,Completed,2022-04-19,2023-10-04,Account 14,CAPEX,Hardware,78924
49,69,16,30,14,On Budget,160313,74358,2022-11-27,user_32,20220311,11,Friday,3,2022,Site 16,East,70,136,Project 30,Manager 10,Completed,2022-04-19,2023-10-04,Account 14,CAPEX,Hardware,78924
293,68,11,45,14,Under,44116,82613,2023-01-21,user_24,20220310,10,Thursday,3,2022,Site 11,South,-35,-8,Project 45,Manager 4,Active,2022-04-08,2023-10-02,Account 14,CAPEX,Hardware,78924
329,17,3,12,14,Under,151010,149421,2023-06-09,user_53,20220118,18,Tuesday,1,2022,Site 3,North,83,99,Project 12,Manager 10,Completed,2022-07-05,2023-04-23,Account 14,CAPEX,Hardware,78924
800,95,7,40,14,Under,16925,91501,2022-12-25,user_72,20220406,6,Wednesday,4,2022,Site 7,North,53,-79,Project 40,Manager 8,Active,2022-08-31,2023-07-28,Account 14,CAPEX,Hardware,78924
464,7,12,1,14,Over,82214,177544,2023-10-03,user_77,20220108,8,Saturday,1,2022,Site 12,North,-67,14,Project 1,Manager 5,Completed,2022-07-06,2023-03-25,Account 14,CAPEX,Hardware,78924
295,8,18,27,14,On Budget,143934,39151,2023-02-02,user_32,20220109,9,Sunday,1,2022,Site 18,North,-79,158,Project 27,Manager 2,Active,2022-09-06,2023-02-05,Account 14,CAPEX,Hardware,78924
765,4,11,27,14,Under,121130,199457,2023-10-15,user_95,20220105,5,Wednesday,1,2022,Site 11,South,-35,-8,Project 27,Manager 2,Active,2022-09-06,2023-02-05,Account 14,CAPEX,Hardware,78924
147,66,4,23,14,Over,79251,181790,2023-11-26,user_76,20220308,8,Tuesday,3,2022,Site 4,North,61,36,Project 23,Manager 6,Active,2022-10-04,2023-09-29,Account 14,CAPEX,Hardware,78924
56,71,17,23,14,On Budget,149281,90714,2022-12-27,user_90,20220313,13,Sunday,3,2022,Site 17,East,57,-82,Project 23,Manager 6,Active,2022-10-04,2023-09-29,Account 14,CAPEX,Hardware,78924
1080,35,19,39,14,Over,115765,100530,2023-09-21,user_24,20220205,5,Saturday,2,2022,Site 19,South,-16,-140,Project 39,Manager 9,Active,2022-10-20,2023-10-23,Account 14,CAPEX,Hardware,78924
13,5,4,39,14,Under,195983,86228,2023-03-23,user_78,20220106,6,Thursday,1,2022,Site 4,North,61,36,Project 39,Manager 9,Active,2022-10-20,2023-10-23,Account 14,CAPEX,Hardware,78924
46,6,12,35,14,On Budget,102142,22076,2023-06-03,user_83,20220107,7,Friday,1,2022,Site 12,North,-67,14,Project 35,Manager 10,Active,2022-01-04,2023-02-06,Account 14,CAPEX,Hardware,78924
491,27,9,42,14,On Budget,10256,208551,2023-11-30,user_2,20220128,28,Friday,1,2022,Site 9,East,-89,-99,Project 42,Manager 6,Completed,2022-07-30,2023-08-28,Account 14,CAPEX,Hardware,78924
809,41,2,18,14,Over,135299,66296,2023-01-16,user_58,20220211,11,Friday,2,2022,Site 2,South,-33,-109,Project 18,Manager 9,Completed,2022-06-24,2023-02-27,Account 14,CAPEX,Hardware,78924
35,63,8,18,14,Under,12608,105936,2022-12-11,user_86,20220305,5,Saturday,3,2022,Site 8,West,-34,49,Project 18,Manager 9,Completed,2022-06-24,2023-02-27,Account 14,CAPEX,Hardware,78924
135,12,3,6,14,Over,198670,101687,2022-05-14,user_72,20220113,13,Thursday,1,2022,Site 3,North,83,99,Project 6,Manager 6,Active,2022-04-28,2023-01-17,Account 14,CAPEX,Hardware,78924
201,94,14,6,14,On Budget,52305,146992,2022-10-28,user_42,20220405,5,Tuesday,4,2022,Site 14,East,-79,55,Project 6,Manager 6,Active,2022-04-28,2023-01-17,Account 14,CAPEX,Hardware,78924
917,71,8,6,14,On Budget,133244,60739,2023-08-29,user_61,20220313,13,Sunday,3,2022,Site 8,West,-34,49,Project 6,Manager 6,Active,2022-04-28,2023-01-17,Account 14,CAPEX,Hardware,78924
154,59,12,6,14,Over,68783,118209,2023-08-27,user_52,20220301,1,Tuesday,3,2022,Site 12,North,-67,14,Project 6,Manager 6,Active,2022-04-28,2023-01-17,Account 14,CAPEX,Hardware,78924
1101,8,17,2,14,On Budget,87798,149032,2022-03-07,user_35,20220109,9,Sunday,1,2022,Site 17,East,57,-82,Project 2,Manager 6,Completed,2022-04-18,2023-05-17,Account 14,CAPEX,Hardware,78924
183,58,12,2,14,Over,108928,135598,2023-01-18,user_31,20220228,28,Monday,2,2022,Site 12,North,-67,14,Project 2,Manager 6,Completed,2022-04-18,2023-05-17,Account 14,CAPEX,Hardware,78924
1041,63,16,48,14,Under,193058,114720,2022-04-13,user_21,20220305,5,Saturday,3,2022,Site 16,East,70,136,Project 48,Manager 8,On Hold,2022-02-20,2023-01-26,Account 14,CAPEX,Hardware,78924
150,1,16,48,14,Over,38865,103669,2023-06-30,user_91,20220102,2,Sunday,1,2022,Site 16,East,70,136,Project 48,Manager 8,On Hold,2022-02-20,2023-01-26,Account 14,CAPEX,Hardware,78924
956,94,15,48,14,Under,80663,46936,2023-03-11,user_94,20220405,5,Tuesday,4,2022,Site 15,North,6,-140,Project 48,Manager 8,On Hold,2022-02-20,2023-01-26,Account 14,CAPEX,Hardware,78924
1046,17,20,44,14,Under,123355,129400,2022-05-17,user_34,20220118,18,Tuesday,1,2022,Site 20,South,-65,14,Project 44,Manager 7,On Hold,2022-06-23,2023-02-25,Account 14,CAPEX,Hardware,78924
581,100,7,44,14,Over,58891,144969,2023-03-22,user_83,20220411,11,Monday,4,2022,Site 7,North,53,-79,Project 44,Manager 7,On Hold,2022-06-23,2023-02-25,Account 14,CAPEX,Hardware,78924
273,96,20,24,14,On Budget,148978,127424,2023-07-05,user_86,20220407,7,Thursday,4,2022,Site 20,South,-65,14,Project 24,Manager 1,On Hold,2022-06-15,2023-09-08,Account 14,CAPEX,Hardware,78924
98,38,12,24,14,Over,69014,143242,2023-02-26,user_73,20220208,8,Tuesday,2,2022,Site 12,North,-67,14,Project 24,Manager 1,On Hold,2022-06-15,2023-09-08,Account 14,CAPEX,Hardware,78924
743,10,9,50,14,Under,184499,154999,2022-04-02,user_15,20220111,11,Tuesday,1,2022,Site 9,East,-89,-99,Project 50,Manager 3,Completed,2022-09-06,2023-09-04,Account 14,CAPEX,Hardware,78924
400,92,17,50,14,Under,188975,109454,2022-03-26,user_82,20220403,3,Sunday,4,2022,Site 17,East,57,-82,Project 50,Manager 3,Completed,2022-09-06,2023-09-04,Account 14,CAPEX,Hardware,78924
84,71,1,36,14,Over,63903,33743,2023-04-18,user_16,20220313,13,Sunday,3,2022,Site 1,North,-84,-40,Project 36,Manager 1,Active,2022-02-04,2023-01-17,Account 14,CAPEX,Hardware,78924
1138,75,16,41,14,Under,185621,132330,2023-03-03,user_21,20220317,17,Thursday,3,2022,Site 16,East,70,136,Project 41,Manager 4,Active,2022-02-19,2023-08-09,Account 14,CAPEX,Hardware,78924
510,79,14,41,14,Under,117466,129147,2023-01-28,user_1,20220321,21,Monday,3,2022,Site 14,East,-79,55,Project 41,Manager 4,Active,2022-02-19,2023-08-09,Account 14,CAPEX,Hardware,78924
626,100,14,34,14,Under,16387,186882,2023-06-27,user_55,20220411,11,Monday,4,2022,Site 14,East,-79,55,Project 34,Manager 6,Active,2022-10-11,2023-04-28,Account 14,CAPEX,Hardware,78924
1084,39,8,34,14,Under,154038,16511,2023-07-19,user_10,20220209,9,Wednesday,2,2022,Site 8,West,-34,49,Project 34,Manager 6,Active,2022-10-11,2023-04-28,Account 14,CAPEX,Hardware,78924
278,59,5,33,14,Under,152825,19135,2023-07-27,user_60,20220301,1,Tuesday,3,2022,Site 5,North,-83,-133,Project 33,Manager 2,Active,2022-04-26,2023-02-02,Account 14,CAPEX,Hardware,78924
679,34,20,10,3,On Budget,107195,85099,2022-08-23,user_32,20220204,4,Friday,2,2022,Site 20,South,-65,14,Project 10,Manager 5,Active,2022-05-07,2023-10-15,Account 3,OPEX,Software,60638
526,74,16,10,3,On Budget,24673,193677,2022-04-14,user_33,20220316,16,Wednesday,3,2022,Site 16,East,70,136,Project 10,Manager 5,Active,2022-05-07,2023-10-15,Account 3,OPEX,Software,60638
333,35,16,10,3,Over,118947,76341,2023-03-08,user_39,20220205,5,Saturday,2,2022,Site 16,East,70,136,Project 10,Manager 5,Active,2022-05-07,2023-10-15,Account 3,OPEX,Software,60638
206,57,2,9,3,Over,174125,100030,2023-01-06,user_50,20220227,27,Sunday,2,2022,Site 2,South,-33,-109,Project 9,Manager 8,Completed,2022-08-23,2023-03-15,Account 3,OPEX,Software,60638
1010,83,10,38,3,On Budget,22170,83930,2022-04-28,user_44,20220325,25,Friday,3,2022,Site 10,West,-3,-38,Project 38,Manager 5,On Hold,2022-09-06,2023-04-20,Account 3,OPEX,Software,60638
651,34,8,19,3,Under,181605,200290,2022-12-17,user_10,20220204,4,Friday,2,2022,Site 8,West,-34,49,Project 19,Manager 5,Completed,2022-03-22,2023-08-21,Account 3,OPEX,Software,60638
415,37,10,21,3,On Budget,124733,6089,2023-01-13,user_26,20220207,7,Monday,2,2022,Site 10,West,-3,-38,Project 21,Manager 3,On Hold,2022-02-24,2023-06-02,Account 3,OPEX,Software,60638
171,17,20,46,3,Under,151518,102744,2023-10-21,user_43,20220118,18,Tuesday,1,2022,Site 20,South,-65,14,Project 46,Manager 8,Active,2022-08-05,2023-04-04,Account 3,OPEX,Software,60638
255,6,10,46,3,Under,120966,175959,2022-09-20,user_96,20220107,7,Friday,1,2022,Site 10,West,-3,-38,Project 46,Manager 8,Active,2022-08-05,2023-04-04,Account 3,OPEX,Software,60638
689,49,8,17,3,Under,168924,66799,2023-06-14,user_98,20220219,19,Saturday,2,2022,Site 8,West,-34,49,Project 17,Manager 5,On Hold,2022-01-06,2023-02-28,Account 3,OPEX,Software,60638
471,31,16,20,3,Under,192250,13103,2023-05-30,user_74,20220201,1,Tuesday,2,2022,Site 16,East,70,136,Project 20,Manager 1,On Hold,2022-05-15,2023-09-14,Account 3,OPEX,Software,60638
1039,51,9,20,3,Over,82967,59151,2022-06-14,user_57,20220221,21,Monday,2,2022,Site 9,East,-89,-99,Project 20,Manager 1,On Hold,2022-05-15,2023-09-14,Account 3,OPEX,Software,60638
1093,87,13,20,3,Over,40419,7637,2022-07-15,user_15,20220329,29,Tuesday,3,2022,Site 13,North,1,-4,Project 20,Manager 1,On Hold,2022-05-15,2023-09-14,Account 3,OPEX,Software,60638
22,66,20,22,3,Over,181369,85374,2022-08-19,user_26,20220308,8,Tuesday,3,2022,Site 20,South,-65,14,Project 22,Manager 9,On Hold,2022-04-12,2023-03-20,Account 3,OPEX,Software,60638
1095,56,18,13,3,Under,126484,42840,2023-05-01,user_55,20220226,26,Saturday,2,2022,Site 18,North,-79,158,Project 13,Manager 3,On Hold,2022-09-10,2023-02-16,Account 3,OPEX,Software,60638
903,92,16,40,3,On Budget,83957,95187,2023-03-05,user_1,20220403,3,Sunday,4,2022,Site 16,East,70,136,Project 40,Manager 8,Active,2022-08-31,2023-07-28,Account 3,OPEX,Software,60638
596,13,10,40,3,Over,88305,131365,2023-04-07,user_43,20220114,14,Friday,1,2022,Site 10,West,-3,-38,Project 40,Manager 8,Active,2022-08-31,2023-07-28,Account 3,OPEX,Software,60638
999,80,4,49,3,On Budget,141301,205214,2023-05-20,user_60,20220322,22,Tuesday,3,2022,Site 4,North,61,36,Project 49,Manager 9,Active,2022-02-17,2023-05-02,Account 3,OPEX,Software,60638
572,74,18,23,3,On Budget,88324,141729,2022-08-14,user_24,20220316,16,Wednesday,3,2022,Site 18,North,-79,158,Project 23,Manager 6,Active,2022-10-04,2023-09-29,Account 3,OPEX,Software,60638
768,30,1,23,3,On Budget,129938,39150,2023-05-30,user_78,20220131,31,Monday,1,2022,Site 1,North,-84,-40,Project 23,Manager 6,Active,2022-10-04,2023-09-29,Account 3,OPEX,Software,60638
424,58,9,15,3,Over,40680,208455,2023-08-22,user_14,20220228,28,Monday,2,2022,Site 9,East,-89,-99,Project 15,Manager 7,On Hold,2022-02-02,2023-07-17,Account 3,OPEX,Software,60638
1149,57,9,42,3,Over,190390,10502,2023-08-09,user_81,20220227,27,Sunday,2,2022,Site 9,East,-89,-99,Project 42,Manager 6,Completed,2022-07-30,2023-08-28,Account 3,OPEX,Software,60638
393,32,9,42,3,Over,150069,161548,2023-09-07,user_93,20220202,2,Wednesday,2,2022,Site 9,East,-89,-99,Project 42,Manager 6,Completed,2022-07-30,2023-08-28,Account 3,OPEX,Software,60638
